OID_,POINT_X,POINT_Y,Profile_ID,Distance (m),Distance (km),ORIG_SEQ,B2,B3,B4,Benthos,Benthos _label,Bathymetrey 
111,270046.4595,6132026.485,3,1110,1.11,111,89.5696106,142.5703278,63.3794289,1,Seagrass,-6.62
112,270036.8177,6132023.832,3,1120,1.12,112,168.6801453,209.2471161,61.1530342,1,Seagrass,-6.92
113,270027.1759,6132021.18,3,1130,1.13,113,280.4636536,342.0762329,62.5965996,1,Seagrass,-7
114,270017.5341,6132018.527,3,1140,1.14,114,320.7180481,411.3693542,61.9465904,2,Bare Sand,-7.05
115,270007.8923,6132015.875,3,1150,1.15,115,347.8616333,429.540741,61.7526512,2,Bare Sand,-7.09
116,269998.2505,6132013.223,3,1160,1.16,116,310.3902283,401.1365051,57.0544014,2,Bare Sand,-6.98
117,269988.6086,6132010.57,3,1170,1.17,117,202.9779358,285.3347778,59.9707527,1,Seagrass,-6.93
118,269978.9668,6132007.918,3,1180,1.18,118,136.4335938,174.7657471,56.789093,1,Seagrass,-6.92
119,269969.325,6132005.265,3,1190,1.19,119,117.1731415,169.4186401,55.6592941,1,Seagrass,-6.97
120,269959.6832,6132002.613,3,1200,1.2,120,142.0514679,211.4107513,55.776413,1,Seagrass,-7.13
121,269950.0414,6131999.961,3,1210,1.21,121,145.7375336,211.320755,56,1,Seagrass,-7.26
122,269940.3995,6131997.308,3,1220,1.22,122,115.1846695,147.3296356,56,1,Seagrass,-7.27
123,269930.7577,6131994.656,3,1230,1.23,123,92.6953735,97.8820343,56,1,Seagrass,-7.22
124,269921.1159,6131992.003,3,1240,1.24,124,74.9268112,82.4402695,56,1,Seagrass,-7.36
125,269911.4741,6131989.351,3,1250,1.25,125,63.2941132,66.9273529,56,1,Seagrass,-7.43
126,269901.8323,6131986.698,3,1260,1.26,126,70.0215378,80.4673767,56,1,Seagrass,-7.37
127,269892.1905,6131984.046,3,1270,1.27,127,75.5616989,91.7966385,56,1,Seagrass,-7.07
128,269882.5486,6131981.394,3,1280,1.28,128,66.2126999,81.6769333,56,1,Seagrass,-7.08
129,269872.9068,6131978.741,3,1290,1.29,129,57.464222,67.6443787,56.2620239,1,Seagrass,-7.14
130,269863.265,6131976.089,3,1300,1.3,130,64.7188721,70.7197571,56.6433144,1,Seagrass,-6.99
131,269853.6232,6131973.436,3,1310,1.31,131,61.8413849,95.2579269,52.1087723,1,Seagrass,-7.01
132,269843.9814,6131970.784,3,1320,1.32,132,86.9462051,114.0876389,54.6682739,1,Seagrass,-7.18
133,269834.3395,6131968.131,3,1330,1.33,133,161.1634827,195.4881439,57.2376175,1,Seagrass,-7.29
134,269824.6977,6131965.479,3,1340,1.34,134,195.6645966,243.641861,55.076683,1,Seagrass,-7.22
135,269815.0559,6131962.827,3,1350,1.35,135,131.5761108,150.2326202,56.0041313,1,Seagrass,-7.63
136,269805.4141,6131960.174,3,1360,1.36,136,117.9120712,157.3283386,56,1,Seagrass,-7.7
137,269795.7723,6131957.522,3,1370,1.37,137,187.2245483,234.9082794,56,1,Seagrass,-7.79
138,269786.1304,6131954.869,3,1380,1.38,138,205.7575226,236.7264709,56.8970757,1,Seagrass,-7.31
139,269776.4886,6131952.217,3,1390,1.39,139,150.7134552,181.3505554,51.557209,1,Seagrass,-7.71
140,269766.8468,6131949.565,3,1400,1.4,140,102.2717667,136.2896271,48.1979713,1,Seagrass,-7.78
141,269757.205,6131946.912,3,1410,1.41,141,105.5643082,113.4633942,48.5882912,1,Seagrass,-7.84
142,269747.5632,6131944.26,3,1420,1.42,142,145.3861694,172.7029572,48.2373428,1,Seagrass,-7.5
143,269737.9214,6131941.607,3,1430,1.43,143,207.6827545,260.9766541,48,1,Seagrass,-7.35
144,269728.2795,6131938.955,3,1440,1.44,144,274.0462952,316.2878723,48,1,Seagrass,-7.52
145,269718.6377,6131936.302,3,1450,1.45,145,311.1572266,343.4567261,48,1,Seagrass,-8
146,269708.9959,6131933.65,3,1460,1.46,146,304.8873596,348.9887085,47.9189453,1,Seagrass,-8.05
147,269699.3541,6131930.997,3,1470,1.47,147,261.6099854,312.3278809,51.1006317,1,Seagrass,-8.07
148,269689.7123,6131928.345,3,1480,1.48,148,233.6473694,289.7364807,55.5635338,1,Seagrass,-8.04
149,269680.0704,6131925.693,3,1490,1.49,149,256.0050049,293.3849182,57.3665504,1,Seagrass,-8.08
150,269670.4286,6131923.04,3,1500,1.5,150,200.8662415,227.5448303,57,1,Seagrass,-8.1
151,269660.7868,6131920.388,3,1510,1.51,151,119.068367,144.3512573,57,1,Seagrass,-8.13
152,269651.145,6131917.735,3,1520,1.52,152,107.1642685,110.7511368,57,1,Seagrass,-8.14
153,269641.5032,6131915.083,3,1530,1.53,153,140.4629974,164.0489807,57,1,Seagrass,-8.15
154,269631.8614,6131912.431,3,1540,1.54,154,168.7224731,216.0242462,57,1,Seagrass,-7.84
155,269622.2195,6131909.778,3,1550,1.55,155,128.0420685,165.5967255,57,1,Seagrass,-7.55
156,269612.5777,6131907.126,3,1560,1.56,156,96.0398941,102.1586304,57,1,Seagrass,-8.05
157,269602.9359,6131904.473,3,1570,1.57,157,82.1823349,92.5022964,57.1629219,1,Seagrass,-8.14
158,269593.2941,6131901.821,3,1580,1.58,158,147.3770447,190.9220734,55.5884628,1,Seagrass,-8.21
159,269583.6523,6131899.168,3,1590,1.59,159,224.2354126,261.8482361,49.0820122,1,Seagrass,-8.21
160,269574.0104,6131896.516,3,1600,1.6,160,204.4904785,252.8196564,48,1,Seagrass,-8.21
161,269564.3686,6131893.864,3,1610,1.61,161,218.2122498,246.1869507,48,1,Seagrass,-8.21
162,269554.7268,6131891.211,3,1620,1.62,162,123.2361908,110.9496994,48,1,Seagrass,-8.21
163,269545.085,6131888.559,3,1630,1.63,163,69.7226334,74.3882751,48,1,Seagrass,-8.21
164,269535.4432,6131885.906,3,1640,1.64,164,49.6005783,64.4431992,48.0866241,1,Seagrass,-8.21
165,269525.8013,6131883.254,3,1650,1.65,165,63.0972977,63.4622078,48,1,Seagrass,-8.21
166,269516.1595,6131880.601,3,1660,1.66,166,63.5432053,66.2166519,47.6111488,1,Seagrass,-8.21
167,269506.5177,6131877.949,3,1670,1.67,167,90.136261,72.4521713,53.4826698,1,Seagrass,-8.21
168,269496.8759,6131875.297,3,1680,1.68,168,170.8989563,179.8088531,57.2366676,1,Seagrass,-8.21
169,269487.2341,6131872.644,3,1690,1.69,169,248.9128723,287.9981995,54.7106972,1,Seagrass,-8.21
170,269477.5923,6131869.992,3,1700,1.7,170,250.074707,295.9477234,47.2056465,1,Seagrass,-8.21
